Make,Model,n,Model_is_base,Model_agg
HONDA,ODYSSEY 3.5L V6 MPI,2,,ODYSSEY
HONDA,PILOT,7,1,
HONDA,PILOT 3.5L V6 MPI,8,,PILOT
HUMMER,H3 3.5L I5 MPI / SFI,1,1,H3
HYUNDAI,ACCENT,160,1,
HYUNDAI,ACCENT 1.5L I-4 EFI,5,,ACCENT
HYUNDAI,ACCENT 1.6L I-4 MPI,5,,ACCENT
HYUNDAI,ACCENT 1.6L I4 MPI,89,,ACCENT
HYUNDAI,ACCENT MFI I-4 1.6L,8,,ACCENT
HYUNDAI,AZERA,6,1,
HYUNDAI,AZERA 3.8L V6 MPI,2,,AZERA
HYUNDAI,ELANTRA,341,1,
HYUNDAI,ELANTRA 2.0L I4 MPI,181,,ELANTRA
HYUNDAI,ELANTRA MFI I-4 2.0L,54,,ELANTRA
HYUNDAI,ENTOURAGE,2,1,
HYUNDAI,SANTA FE 2WD 4C,26,1,SANTA FE
HYUNDAI,SANTA FE 2WD 4C 2.4L,19,,SANTA FE
HYUNDAI,SANTA FE 2WD V6,68,1,SANTA FE
HYUNDAI,SANTA FE 2WD V6 2.7L,47,,SANTA FE
HYUNDAI,SANTA FE 2WD V6 3.5L,9,,SANTA FE
HYUNDAI,SANTA FE 4WD V6,14,,SANTA FE
HYUNDAI,SANTA FE 4WD V6 2.7L,19,,SANTA FE
HYUNDAI,SANTA FE 4WD V6 Unsp,1,,SANTA FE
HYUNDAI,SONATA 4C,202,1,SONATA
HYUNDAI,SONATA 4C 2.4L I-4 M,4,,SONATA
HYUNDAI,SONATA 4C 2.4L I4 MP,60,,SONATA
HYUNDAI,SONATA 4C MFI I-4 2.,8,,SONATA
HYUNDAI,SONATA V6,254,1,SONATA
HYUNDAI,SONATA V6 2.7L V6 MP,48,,SONATA
HYUNDAI,SONATA V6 3.3L V6 MP,54,,SONATA
HYUNDAI,SONATA V6 MFI V6 2.7,3,,SONATA
HYUNDAI,TIBURON,36,1,TIBURON
HYUNDAI,TIBURON 2.7L V6 MPI,4,,TIBURON
HYUNDAI,TIBURON MFI I-4 2.0L,4,,TIBURON
HYUNDAI,TIBURON MFI V6 2.7L,3,,TIBURON
HYUNDAI,TUCSON 2WD 4C,16,1,TUCSON
HYUNDAI,TUCSON 2WD 4C 2.0L I,10,1,TUCSON
HYUNDAI,TUCSON 2WD V6,11,,TUCSON
HYUNDAI,TUCSON 2WD V6 2.7L V,8,,TUCSON
HYUNDAI,TUCSON 2WD V6 MFI V6,2,,TUCSON
HYUNDAI,TUCSON 4WD 4C,1,,TUCSON
HYUNDAI,TUCSON 4WD V6,3,,TUCSON
HYUNDAI,TUCSON 4WD V6 2.7L V,2,,TUCSON
HYUNDAI,XG 300,3,1,
HYUNDAI,XG 300 Unspecified,2,,XG 300
HYUNDAI,XG 350,9,1,XG 350
HYUNDAI,XG 350 3.5L V6 EFI /,3,,XG 350
HYUNDAI,XG 350 3.5L V6 EFI D,5,,XG 350
INFINITI,FX35 AWD,1,1,
INFINITI,G20 2.0L I4 EFI,1,1,G20
INFINITI,G35,13,1,
INFINITI,G35 3.5L V6 DOHC,1,,G35
INFINITI,G35 3.5L V6 MPI,4,,G35
INFINITI,G35 3.5L V6 SMPI,1,,G35
INFINITI,I30,3,1,
INFINITI,I35,3,1,
INFINITI,I35 3.5L V6 MPI DOHC,3,1,I35
INFINITI,M35,2,1,
INFINITI,M35 3.5L V6 MPI,1,,M35
INFINITI,M45 4.5L V8 MPI,1,1,M45
INFINITI,M45 4.5L V8 MPI / SF,1,1,M45
INFINITI,QX4 2WD V6 3.5L V6 M,2,,QX4
INFINITI,QX4 4WD V6,5,1,QX4
ISUZU,ASCENDER 2WD 6C,69,1,ASCENDER
ISUZU,ASCENDER 2WD 6C 4.2L,42,,ASCENDER
ISUZU,ASCENDER 2WD V8 5.3L,1,,ASCENDER
ISUZU,ASCENDER 4WD 6C,5,,ASCENDER
ISUZU,ASCENDER 4WD 6C 4.2L,2,,ASCENDER
ISUZU,AXIOM 2WD V6,1,1,AXIOM
ISUZU,AXIOM 2WD V6 3.5L V6,5,1,AXIOM
ISUZU,AXIOM 4WD V6 3.5L V6,1,,AXIOM
ISUZU,I-280 PICKUP 2WD 4C,4,1,
ISUZU,I-290 PICKUP 2WD 4C,1,1,
ISUZU,I-370 PICKUP 2WD 5C,1,1,
ISUZU,RODEO 2WD 4C MFI I-4,1,1,RODEO
ISUZU,RODEO 2WD V6,1,,RODEO
JEEP,CHEROKEE 2WD 6C,1,1,CHEROKEE
JEEP,CHEROKEE 2WD 6C 4.0L,5,1,CHEROKEE
JEEP,CHEROKEE 4WD 6C,1,,CHEROKEE
JEEP,CHEROKEE 4WD 6C 4.0L,1,,CHEROKEE
JEEP,COMMANDER,1,1,
JEEP,COMMANDER 2WD V6,33,1,COMMANDER
JEEP,COMMANDER 2WD V6 3.7,12,,COMMANDER
JEEP,COMMANDER 2WD V8,15,,COMMANDER
JEEP,COMMANDER 2WD V8 4.7,5,,COMMANDER
JEEP,COMMANDER 4WD V6,19,,COMMANDER
JEEP,COMMANDER 4WD V6 3.7,8,,COMMANDER
JEEP,COMMANDER 4WD V8,5,,COMMANDER
JEEP,COMMANDER 4WD V8 4.7,4,,COMMANDER
JEEP,COMPASS 2WD 4C,7,1,COMPASS
JEEP,COMPASS 2WD 4C 2.0L,1,,COMPASS
JEEP,COMPASS 2WD 4C 2.4L,6,,COMPASS
JEEP,COMPASS 4WD 4C,7,,COMPASS
JEEP,COMPASS 4WD 4C 2.4L,2,,COMPASS
JEEP,COMPASS FWD 4C,68,1,COMPASS
JEEP,GRAND CHEROKEE 2WD 6,104,,GRAND CHEROKEE
JEEP,GRAND CHEROKEE 2WD V,274,1,GRAND CHEROKEE
JEEP,GRAND CHEROKEE 4WD 6,51,,GRAND CHEROKEE
JEEP,GRAND CHEROKEE 4WD V,136,,GRAND CHEROKEE
JEEP,LIBERTY 2WD 4C,15,,LIBERTY
JEEP,LIBERTY 2WD 4C 2.4L,6,,LIBERTY
JEEP,LIBERTY 2WD V6,239,1,LIBERTY
JEEP,LIBERTY 2WD V6 3.7L,168,,LIBERTY
JEEP,LIBERTY 4WD 4C,2,,LIBERTY
JEEP,LIBERTY 4WD V6,183,,LIBERTY
JEEP,LIBERTY 4WD V6 3.7L,154,,LIBERTY
JEEP,PATRIOT 2WD 4C,12,,PATRIOT
JEEP,PATRIOT 2WD 4C 2.0L,1,,PATRIOT
JEEP,PATRIOT 2WD 4C 2.4L,2,,PATRIOT
JEEP,PATRIOT 4WD 4C,30,,PATRIOT
JEEP,PATRIOT FWD 4C,58,1,PATRIOT
JEEP,WRANGLER 6C,3,1,WRANGLER
JEEP,WRANGLER 6C 4.0L I-6,5,,WRANGLER
KIA,AMANTI,23,1,
KIA,AMANTI 3.5L V6 MPI,18,,AMANTI
KIA,MAGENTIS 4C,2,1,
KIA,OPTIMA,1,,
KIA,OPTIMA 4C,296,1,OPTIMA
KIA,OPTIMA 4C 2.4L I 4 N,1,,OPTIMA
KIA,OPTIMA 4C 2.4L I4 MP,164,,OPTIMA
KIA,OPTIMA V6,85,,OPTIMA
KIA,OPTIMA V6 2.7L V6 MP,42,,OPTIMA
KIA,OPTIMA V6 MFI V6 2.7,10,,OPTIMA
KIA,RIO,201,1,
KIA,RIO 1.6L I4 MPI,68,,RIO
KIA,RIO 5,16,,RIO
KIA,RIO 5 1.6L I4 MPI,3,,RIO
KIA,RIO MFI I-4 1.6L DOH,27,,RIO
KIA,RONDO 4C,27,1,RONDO
KIA,RONDO 4C 2.4L I4 DI,1,,RONDO
KIA,RONDO 4C 2.4L I4 MPI,4,,RONDO
KIA,RONDO V6,28,,RONDO
KIA,RONDO V6 2.7L V6 DI,28,,RONDO
KIA,RONDO V6 2.7L V6 MPI,4,,RONDO
KIA,SEDONA,63,1,
KIA,SEDONA 3.5L V6 EFI,1,,SEDONA
KIA,SEDONA 3.8L V6 MPI,11,,SEDONA
KIA,SORENTO 2WD,148,1,SEDONA
KIA,SORENTO 2WD 3.5L V6,98,,SEDONA
KIA,SORENTO 2WD 3.8L V6,2,,SEDONA
KIA,SORENTO 4WD,31,,SEDONA
KIA,SORENTO 4WD 3.5L V6,28,,SEDONA
KIA,SPECTRA,674,1,
KIA,SPECTRA 1.8L I4 EFI,12,,SPECTRA
KIA,SPECTRA 2.0L I-4 EFI,12,,SPECTRA
KIA,SPECTRA 2.0L I4 EFI,281,,SPECTRA
KIA,SPECTRA 5,12,,SPECTRA
KIA,SPECTRA 5 2.0L I4 EF,4,,SPECTRA
KIA,SPECTRA 6-230/250-1V,2,,SPECTRA
KIA,SPORTAGE 2WD 4C,19,1,SPORTAGE
KIA,SPORTAGE 2WD 4C 2.0L,6,,SPORTAGE
KIA,SPORTAGE 2WD 4C 2.7L,2,,SPORTAGE
KIA,SPORTAGE 2WD 4C MFI,2,,SPORTAGE
KIA,SPORTAGE 2WD Multipl,3,,SPORTAGE
KIA,SPORTAGE 2WD V6,10,,SPORTAGE
KIA,SPORTAGE 2WD V6 2.7L,5,,SPORTAGE
KIA,SPORTAGE 4WD 2.0L I4,4,,SPORTAGE
KIA,SPORTAGE 4WD V6,5,,SPORTAGE
LEXUS,ES300,4,1,
LEXUS,ES300 3.0L V6 EFI,7,,ES300
LEXUS,ES300 3.0L V6 EFI DO,1,,ES300
LEXUS,ES330,4,1,
LEXUS,GS300,2,1,
LEXUS,GS300 3.0L I6 EFI,2,,GS300
LEXUS,GS450H,1,1,
LEXUS,GX470 4WD,1,1,
LEXUS,IS300,1,1,
LEXUS,RX300 2WD,3,1,RX300
LEXUS,RX300 2WD 3.0L V6 EF,2,,RX300
LEXUS,RX330 FWD,1,1,
LEXUS,RX400H AWD,2,1,
LINCOLN,AVIATOR 2WD V8,11,1,AVIATOR
LINCOLN,AVIATOR 2WD V8 4.6L,4,,AVIATOR
LINCOLN,AVIATOR AWD V8,2,,AVIATOR
LINCOLN,CONTINENTAL,7,1,
LINCOLN,CONTINENTAL 4.6L V8,4,,CONTINENTAL
LINCOLN,LS V6,2,1,LS
LINCOLN,LS V6 3.0L V6 EFI,1,,LS
LINCOLN,LS V6 3.0L V6 EFI DO,2,,LS
LINCOLN,LS V8,2,,LS
LINCOLN,LS V8 3.9L V8 EFI,1,,LS
LINCOLN,NAVIGATOR 2WD V8,4,1,NAVIGATOR
LINCOLN,NAVIGATOR 2WD V8 5.4,6,,NAVIGATOR
LINCOLN,NAVIGATOR 4WD V8,2,,NAVIGATOR
LINCOLN,NAVIGATOR 4WD V8 5.4,3,,NAVIGATOR
LINCOLN,TOWN CAR,16,1,
LINCOLN,TOWN CAR 4.6L V8 EFI,17,,TOWN CAR
LINCOLN,ZEPHYR,9,1,
LINCOLN,ZEPHYR 3.0L V6 SFI,4,,ZEPHYR
MAZDA,626 4C,4,1,626
MAZDA,626 4C 2.0L I-4 EFI,5,,626
MAZDA,626 4C 2.0L I4 EFI,1,,626
MAZDA,626 V6,1,,626
MAZDA,626 V6 2.5L V6 EFI D,3,,626
MAZDA,B2300 PICKUP 2WD 4C,11,1,
MAZDA,B3000 PICKUP 2WD V6,12,1,B3000 PICKUP
MAZDA,B3000 PICKUP 4WD V6,1,,B3000 PICKUP
MAZDA,CX-7 AWD 4C,1,,CX-7
MAZDA,CX-7 FWD 4C,1,1,CX-7
MAZDA,CX-7 FWD 4C 2.3L I4,1,,CX-7
MAZDA,MAZDA3,202,1,
MAZDA,MAZDA3 2.0L I-4 MPI,3,,MAZDA3
MAZDA,MAZDA3 2.0L I4 MFI /,3,,MAZDA3
MAZDA,MAZDA3 2.0L I4 MPI,9,,MAZDA3
MAZDA,MAZDA3 2.3L I-4 MPI,5,,MAZDA3
MAZDA,MAZDA3 2.3L I4 MFI /,1,,MAZDA3
MAZDA,MAZDA3 2.3L I4 MPI,9,,MAZDA3
MAZDA,MAZDA5,33,1,
MAZDA,MAZDA5 2.3L I4 MFI /,5,,MAZDA5
MAZDA,MAZDA6,277,1,
MAZDA,MAZDA6 2.3L I-4 MPI,1,,MAZDA6
MAZDA,MAZDA6 2.3L I4 MFI /,29,,MAZDA6
MAZDA,MAZDA6 2.3L I4 MPI,41,,MAZDA6
MAZDA,MAZDA6 3.0L V6 MFI /,8,,MAZDA6
MAZDA,MAZDA6 3.0L V6 MPI,7,,MAZDA6
MAZDA,MAZDA6 3.0L V6 MPI D,6,,MAZDA6
MAZDA,MIATA MX-5,7,1,
MAZDA,MPV 2WD V6,23,1,MPV
MAZDA,MPV 2WD V6 3.0L V6 M,8,,MPV
MAZDA,MPV 2WD V6 MFI V6 2.,3,,MPV
MAZDA,MPV 2WD V6 MFI V6 3.,3,,MPV
MAZDA,PROTEGE,19,1,
MAZDA,PROTEGE 2.0L I-4 EFI,3,,PROTEGE
MAZDA,PROTEGE 2.0L I4 EFI,14,,PROTEGE
MAZDA,PROTEGE 5,6,,PROTEGE
MAZDA,PROTEGE 5 2.0L I-4 M,8,,PROTEGE
MAZDA,PROTEGE MFI I-4 1.6L,1,,PROTEGE
MAZDA,TRIBUTE 2WD 4C,55,1,TRIBUTE
MAZDA,TRIBUTE 2WD 4C 2.3L,18,,TRIBUTE
MAZDA,TRIBUTE 2WD V6,53,1,TRIBUTE
MAZDA,TRIBUTE 2WD V6 3.0L,44,,TRIBUTE
MAZDA,TRIBUTE 4WD 4C,2,,TRIBUTE
MAZDA,TRIBUTE 4WD V6,19,,TRIBUTE
MAZDA,TRIBUTE 4WD V6 3.0L,13,,TRIBUTE
MERCURY,GRAND MARQUIS,38,1,
MERCURY,GRAND MARQUIS 4.6L V,8,,GRAND MARQUIS
MERCURY,MARINER 2WD 4C,13,1,MARINER
MERCURY,MARINER 2WD 4C 2.3L,4,,MARINER
MERCURY,MARINER 2WD V6,44,1,MARINER
MERCURY,MARINER 2WD V6 3.0L,17,,MARINER
MERCURY,MARINER 4WD 4C,2,,MARINER
MERCURY,MARINER 4WD 4C 2.3L,1,,MARINER
MERCURY,MARINER 4WD V6,38,,MARINER
MERCURY,MARINER 4WD V6 3.0L,44,,MARINER
MERCURY,MILAN 4C,81,1,MILAN
MERCURY,MILAN 4C 2.3L I4 EFI,8,,MILAN
MERCURY,MILAN V6,27,,MILAN
MERCURY,MILAN V6 3.0L V6 EFI,4,,MILAN
MERCURY,MONTEGO,44,1,
MERCURY,MONTEGO 3.0L V6 EFI,31,,MONTEGO
MERCURY,MONTEREY,21,1,
MERCURY,MONTEREY 4.2L V6 SPI,19,,MONTEREY
MERCURY,MOUNTAINEER 2WD V6,16,1,MOUNTAINEER
MERCURY,MOUNTAINEER 2WD V6 4,8,,MOUNTAINEER
MERCURY,MOUNTAINEER 2WD V8,10,,MOUNTAINEER
MERCURY,MOUNTAINEER 2WD V8 4,8,,MOUNTAINEER
MERCURY,MOUNTAINEER AWD V6,14,,MOUNTAINEER
MERCURY,MOUNTAINEER AWD V6 4,11,,MOUNTAINEER
MERCURY,MOUNTAINEER AWD V8,12,,MOUNTAINEER
MERCURY,MOUNTAINEER AWD V8 4,8,,MOUNTAINEER
MERCURY,SABLE,183,1,
MERCURY,SABLE 3.0L V6 2V /EF,38,,SABLE
MERCURY,SABLE 3.0L V6 4V /EF,41,,SABLE
MERCURY,SABLE 3.0L V6 EFI,93,,SABLE
MERCURY,SABLE 3.0L V6 EFI 2B,4,,SABLE
MERCURY,SABLE 3.0L V6 EFI 4B,4,,SABLE
MERCURY,SABLE 3.0L V6 EFI DO,13,,SABLE
MERCURY,SABLE 3.0L V6 EFI SO,4,,SABLE
MERCURY,SABLE 3.5L V6 24V /,2,,SABLE
MINI,COOPER,14,1,
MINI,COOPER 1.6L I-4 EFI,1,,COOPER
MINI,COOPER 1.6L I4 EFI,3,,COOPER
MINI,COOPER S,4,,COOPER
MINI,COOPER S 1.6L I4 EFI,2,,COOPER
MITSUBISHI,ECLIPSE,52,1,
MITSUBISHI,ECLIPSE 2.4L I-4 EFI,4,,ECLIPSE
MITSUBISHI,ECLIPSE 2.4L I4 EFI,8,,ECLIPSE
MITSUBISHI,ECLIPSE 2.4L I4 MPI,6,,ECLIPSE
MITSUBISHI,ECLIPSE 3.0L V6 EFI,6,,ECLIPSE
MITSUBISHI,ECLIPSE 3.8L V6 MPI,1,,ECLIPSE
MITSUBISHI,ECLIPSE EI V6 3.0L S,1,,ECLIPSE
MITSUBISHI,ECLIPSE V6,1,,ECLIPSE
MITSUBISHI,ENDEAVOR AWD,15,,ENDEAVOR
MITSUBISHI,ENDEAVOR AWD 3.8L V6,10,,ENDEAVOR
MITSUBISHI,ENDEAVOR FWD,52,1,ENDEAVOR
MITSUBISHI,ENDEAVOR FWD 3.8L V6,46,,ENDEAVOR
MITSUBISHI,GALANT 4C,306,1,GALANT
MITSUBISHI,GALANT 4C 2.4L I-4 E,6,,GALANT
MITSUBISHI,GALANT 4C 2.4L I4 EF,93,,GALANT
MITSUBISHI,GALANT 4C 2.4L I4 MP,4,,GALANT
MITSUBISHI,GALANT 4C Multiple E,9,,GALANT
MITSUBISHI,GALANT V6,32,,GALANT
MITSUBISHI,GALANT V6 3.0L V6 EF,4,,GALANT
MITSUBISHI,GALANT V6 3.8L V6 MP,7,,GALANT
MITSUBISHI,LANCER,128,1,
MITSUBISHI,LANCER 2.0L I-4 MPI,6,,LANCER
MITSUBISHI,LANCER 2.0L I4 MPI,78,,LANCER
MITSUBISHI,LANCER 2.4L I4 EFI,1,,LANCER
MITSUBISHI,LANCER 2.4L I4 MPI,6,,LANCER
MITSUBISHI,MIRAGE 1.8L I-4 MPI,1,1,
MITSUBISHI,MONTERO 4WD V6,5,1,MONTERO
MITSUBISHI,MONTERO 4WD V6 3.5L,8,,MONTERO
MITSUBISHI,MONTERO 4WD V6 3.8L,1,,MONTERO
MITSUBISHI,MONTERO SPORT 2WD V6,42,1,MONTERO
MITSUBISHI,MONTERO SPORT 4WD V6,11,,MONTERO
MITSUBISHI,OUTLANDER 2WD 4C,25,1,OUTLANDER
MITSUBISHI,OUTLANDER 2WD 4C 2.4,23,1,OUTLANDER
MITSUBISHI,OUTLANDER 2WD V6,1,,OUTLANDER
MITSUBISHI,OUTLANDER AWD 4C,13,,OUTLANDER
MITSUBISHI,OUTLANDER AWD 4C 2.4,5,,OUTLANDER
MITSUBISHI,RAIDER 2WD V6,12,1,RAIDER
MITSUBISHI,RAIDER 2WD V6 3.7L V,1,,RAIDER
NISSAN,350Z,6,1,
NISSAN,350Z 3.5L V6 MPI,1,,350Z
NISSAN,350Z MFI V6 3.5L DOH,1,,350Z
NISSAN,ALTIMA,681,1,
NISSAN,ALTIMA 2.4L I4 EFI,3,,ALTIMA
NISSAN,ALTIMA 2.5L I-4 EFI,5,,ALTIMA
NISSAN,ALTIMA 2.5L I4 EFI,59,,ALTIMA
NISSAN,ALTIMA 2.5L I4 MPI,115,,ALTIMA
NISSAN,ALTIMA 2.5L I4 MPI /,39,,ALTIMA
NISSAN,ALTIMA 3.5L V6 MPI,8,,ALTIMA
NISSAN,ALTIMA 3.5L V6 MPI /,1,,ALTIMA
NISSAN,ALTIMA MFI I-4 2.5L,8,,ALTIMA
NISSAN,ALTIMA MFI V6 3.5L D,2,,ALTIMA
NISSAN,ALTIMA Multiple Engi,1,,ALTIMA
NISSAN,ARMADA 2WD V8,2,1,ARMADA
NISSAN,ARMADA 4WD V8,1,,ARMADA
NISSAN,FRONTIER PICKUP 2WD,53,1,FRONTIER PICKUP
NISSAN,FRONTIER PICKUP 4WD,1,,FRONTIER PICKUP
NISSAN,MAXIMA,91,1,
NISSAN,MAXIMA 3.0L V6 EFI D,4,,MAXIMA
NISSAN,MAXIMA 3.5L V6 MPI,44,,MAXIMA
NISSAN,MAXIMA 3.5L V6 MPI /,9,,MAXIMA
NISSAN,MAXIMA MFI V6 3.5L D,19,,MAXIMA
NISSAN,MURANO 2WD V6,18,1,MURANO
NISSAN,MURANO 2WD V6 3.5L V,11,,MURANO
NISSAN,MURANO AWD V6,4,,MURANO
NISSAN,MURANO AWD V6 3.5L V,2,,MURANO
NISSAN,PATHFINDER 2WD V6,10,1,PATHFINDER
NISSAN,PATHFINDER 2WD V6 3.,2,,PATHFINDER
NISSAN,PATHFINDER 2WD V6 4.,4,,PATHFINDER
NISSAN,PATHFINDER 2WD V6 MF,9,,PATHFINDER
NISSAN,PATHFINDER 4WD V6,15,,PATHFINDER
NISSAN,PATHFINDER 4WD V6 3.,6,,PATHFINDER
NISSAN,PATHFINDER 4WD V6 4.,2,,PATHFINDER
NISSAN,PATHFINDER 4WD V6 MF,4,,PATHFINDER
NISSAN,QUEST,11,1,
NISSAN,QUEST 3.5L V6 EFI /,4,,QUEST
NISSAN,QUEST 3.5L V6 MPI,6,,QUEST
NISSAN,SENTRA,276,1,
NISSAN,SENTRA 1.8L I-4 EFI,5,,SENTRA
NISSAN,SENTRA 1.8L I 4 NA D,2,,SENTRA
NISSAN,SENTRA 1.8L I4 EFI,70,,SENTRA
NISSAN,SENTRA 1.8L I4 EFI /,14,,SENTRA
NISSAN,SENTRA 2.0L I4 EFI,1,,SENTRA
NISSAN,SENTRA 2.5L I-4 EFI,1,,SENTRA
NISSAN,TITAN PICKUP 2WD V8,159,1,TITAN PICKUP
NISSAN,TITAN PICKUP 4WD V8,6,,TITAN PICKUP
NISSAN,VERSA,55,1,
NISSAN,XTERRA 2WD 4C,16,,XTERRA
NISSAN,XTERRA 2WD 4C 2.4L I,10,,XTERRA
NISSAN,XTERRA 2WD V6,106,1,XTERRA
NISSAN,XTERRA 2WD V6 3.3L V,67,,XTERRA
NISSAN,XTERRA 2WD V6 4.0L V,9,,XTERRA
NISSAN,XTERRA 4WD V6,12,,XTERRA
NISSAN,XTERRA 4WD V6 3.3L V,14,,XTERRA
OLDSMOBILE,ALERO 4C,53,1,ALERO
OLDSMOBILE,ALERO 4C 2.2L I-4 MP,4,,ALERO
OLDSMOBILE,ALERO 4C 2.2L I4 MPI,101,1,ALERO
OLDSMOBILE,ALERO 4C 2.4L I-4 SF,1,,ALERO
OLDSMOBILE,ALERO 4C 2.4L I4 SFI,2,,ALERO
OLDSMOBILE,ALERO V6,26,,ALERO
OLDSMOBILE,ALERO V6 3.4L V6 MPI,34,,ALERO
OLDSMOBILE,BRAVADA 2WD V6,1,1,BRAVADA
OLDSMOBILE,BRAVADA 2WD V6 4.2L,1,,BRAVADA
OLDSMOBILE,BRAVADA AWD V6,3,,BRAVADA
OLDSMOBILE,BRAVADA AWD V6 4.2L,3,,BRAVADA
OLDSMOBILE,SILHOUETTE,7,1,
OLDSMOBILE,SILHOUETTE 3.4L V 6,1,,SILHOUETTE
OLDSMOBILE,SILHOUETTE 3.4L V6 S,6,,SILHOUETTE
PLYMOUTH,NEON,1,1,
PLYMOUTH,NEON 2.0L I4 SFI,1,,NEON
PONTIAC,BONNEVILLE,39,1,
PONTIAC,BONNEVILLE 3.8L V6 M,19,,BONNEVILLE
PONTIAC,BONNEVILLE 3.8L V6 S,23,,BONNEVILLE
PONTIAC,FIREBIRD V6,4,1,FIREBIRD
PONTIAC,FIREBIRD V6 3.8L V6,3,,FIREBIRD
PONTIAC,G5 4C,30,1,G5
PONTIAC,G5 4C 2.2L I4 MPI,6,,G5
PONTIAC,G6 4C,351,1,G6
PONTIAC,G6 4C 2.4L I-4 MPI,7,,G6
PONTIAC,G6 4C 2.4L I4 MFI /,31,,G6
PONTIAC,G6 4C 2.4L I4 MPI,59,,G6
PONTIAC,G6 V6,555,1,G6
PONTIAC,G6 V6 3.5L V6 MFI /,10,,G6
PONTIAC,G6 V6 3.5L V6 SFI,175,,G6
PONTIAC,G6 V6 3.9L V6 SFI,4,,G6
PONTIAC,G8 V8,1,,G6
PONTIAC,GRAND AM 4C,61,1,GRAND AM
PONTIAC,GRAND AM 4C 2.2L I-4,2,,GRAND AM
PONTIAC,GRAND AM 4C 2.2L I4,68,,GRAND AM
PONTIAC,GRAND AM 4C 2.4L I-4,5,,GRAND AM
PONTIAC,GRAND AM V6,148,1,GRAND AM
PONTIAC,GRAND AM V6 3.4L V 6,1,,GRAND AM
PONTIAC,GRAND AM V6 3.4L V6,170,1,GRAND AM
PONTIAC,GRAND AM V6 Unspecif,6,,GRAND AM
PONTIAC,GRAND PRIX,885,1,
PONTIAC,GRAND PRIX 3.1L V6 S,40,,GRAND PRIX
PONTIAC,GRAND PRIX 3.8L V6 M,31,,GRAND PRIX
PONTIAC,GRAND PRIX 3.8L V6 S,862,1,GRAND PRIX
PONTIAC,GRAND PRIX 5.3L V8 S,1,,GRAND PRIX
PONTIAC,MONTANA,47,1,
PONTIAC,MONTANA 3.4L V 6 NA,2,,MONTANA
PONTIAC,MONTANA 3.4L V6 EFI,41,1,MONTANA
PONTIAC,MONTANA 3.4L V6 SFI,20,,MONTANA
PONTIAC,MONTANA AWD,5,,MONTANA
PONTIAC,MONTANA AWD 3.5L V6,5,,MONTANA
PONTIAC,MONTANA FWD,42,1,MONTANA
PONTIAC,MONTANA FWD 3.4L V6,16,,MONTANA
PONTIAC,MONTANA FWD 3.5L V6,44,1,MONTANA
PONTIAC,SOLSTICE,4,1,
PONTIAC,SUNFIRE,88,1,
PONTIAC,SUNFIRE 2.2L I-4 MPI,4,,SUNFIRE
PONTIAC,SUNFIRE 2.2L I 4 NA,1,,SUNFIRE
PONTIAC,SUNFIRE 2.2L I4 MPI,76,,SUNFIRE
PONTIAC,TORRENT AWD V6,4,,TORRENT
PONTIAC,TORRENT FWD V6,43,1,TORRENT
PONTIAC,TORRENT FWD V6 3.4L,19,,TORRENT
PONTIAC,VIBE,137,1,
PONTIAC,VIBE 1.8L I-4 MPI,13,,VIBE
PONTIAC,VIBE 1.8L I4 MFI / M,6,,VIBE
PONTIAC,VIBE 1.8L I4 MPI,39,,VIBE
PONTIAC,VIBE AWD,3,,VIBE
PONTIAC,VIBE AWD 1.8L I4 MPI,1,,VIBE
PONTIAC,VIBE AWD MFI I-4 1.8,1,,VIBE
SATURN,AURA,56,1,
SATURN,AURA 3.5L V6 SFI,6,,AURA
SATURN,AURA 4C,14,,AURA
SATURN,AURA V6,74,1,AURA
SATURN,AURA V6 3.5L V6 SFI,4,,AURA
SATURN,COUPE,5,1,
SATURN,COUPE 1.9L I-4 SFI D,3,,COUPE
SATURN,COUPE 1.9L I-4 SFI S,5,,COUPE
SATURN,ION,720,1,
SATURN,ION 2.0L I-4 MPI DOH,13,,ION
SATURN,ION 2.0L I4 MPI,29,,ION
SATURN,ION 2.2L I-4 EFI DOH,4,,ION
SATURN,ION 2.2L I-4 MPI DOH,19,,ION
SATURN,ION 2.2L I4 EFI,214,,ION
SATURN,ION 2.2L I4 EFI / SF,77,,ION
SATURN,ION 2.2L I4 MPI,28,,ION
SATURN,ION 2.2L I4 MPI / SF,24,,ION
SATURN,L SERIES,179,1,
SATURN,L SERIES 2.0L I-4 MP,9,,L SERIES
SATURN,L SERIES 2.0L I4 MPI,26,,L SERIES
SATURN,L SERIES 2.2L I-4 EF,4,,L SERIES
SATURN,L SERIES 2.2L I4 MPI,29,,L SERIES
SATURN,L SERIES 2.2L I4 SFI,2,,L SERIES
SATURN,L SERIES 3.0L V6 EFI,72,,L SERIES
SATURN,RELAY 2WD V6,39,1,RELAY
SATURN,RELAY 2WD V6 3.5L V6,28,,RELAY
SATURN,RELAY 2WD V6 3.9L V6,1,,RELAY
SATURN,RELAY AWD V6,1,,RELAY
SATURN,S SERIES,49,1,
SATURN,S SERIES 1.9L I-4 SF,18,,S SERIES
SATURN,S SERIES 1.9L I4 SFI,36,,S SERIES
SATURN,VUE 2WD 4C,170,1,VUE
SATURN,VUE 2WD 4C 2.2L I-4,21,,VUE
SATURN,VUE 2WD 4C 2.2L I4 M,72,,VUE
SATURN,VUE 2WD V6,52,,VUE
